commune,nombre_d'offres,prix_moyen_annoncé_________en_€_courant,prix_moyen_annoncé_au_m²_en_€_courant
Beaufort,89,521168.7415730339,3266.077874265703
Bech,22,*,*
Beckerich,75,698367.7599999999,3824.940864834714
Berdorf,48,610455.0416666667,3473.147667095621
Bertrange,50,1206385.6,5796.93646122682
Bettembourg,97,738053.2474226805,4115.370870247662
Bettendorf,99,632530.2929292928,3263.1016918754067
Betzdorf,42,806139.6904761905,4506.856725547755
Bissen,163,732063.8343558286,4886.694797557146
Biwer,35,853927.1428571428,4189.055958082417
Boevange-sur-Attert,33,873848.6363636364,4141.650073604354
Boulaide,115,528758.1043478261,2963.7705993499176
Bourscheid,36,721815.7222222224,3894.264204818484
Bous,21,*,*
Clervaux,160,612099.7687500002,3185.32145059989
Colmar-Berg,22,*,*
Consdorf,41,649789.3658536586,4106.562692361296
Contern,122,1027948.5819672127,5536.750156156465
Dalheim,48,632839.4583333333,3882.674545561079
Diekirch,70,559271.4285714285,3414.7627177844874
Differdange,318,563777.0094339618,3416.7243289580947
Dippach,66,987930.287878788,4878.205185723671
Dudelange,251,687628.9482071712,3967.3534280044723
Echternach,44,754347.0454545458,3705.185859211105
Ell,46,760301.1086956523,3923.567351252784
Erpeldange,79,615468.9620253164,4123.73162147552
Esch-sur-Alzette,369,640008.5149051483,3510.2260989675196
Esch-sur-Sûre,88,654725.7272727274,3471.8111531040836
Ettelbruck,231,640357.1082251079,3921.5647506947066
Feulen,51,694169.6078431372,3524.030949340314
Fischbach,48,774837.5000000001,4591.97551158066
Flaxweiler,31,739726.9032258063,3863.9488205989205
Frisange,102,912687.2549019611,4450.601483851978
Garnich,47,866940.4893617021,4128.497195587868
Goesdorf,43,630799.069767442,3114.682942241057
Grevenmacher,49,642704.081632653,3362.737917653913
Grosbous,25,*,*
Heffingen,71,747519.2676056338,3999.3102725444614
Hesperange,130,980133.4384615384,5391.247613425647
Hobscheid,138,731911.3260869563,4056.1005831860957
Junglinster,234,905894.2307692303,4924.151833488367
Kaerjeng,167,782017.1257485028,4343.979401824831
Kayl,80,637962.5000000002,3681.871339930464
Kehlen,144,947551.6458333331,4638.231346314153
Kiischpelt,35,574134.2857142858,3111.7921506106404
Koerich,87,810187.3448275862,4939.438136558032
Kopstal,105,1036966.5428571427,5029.8185684625605
Lac de la Haute-Sûre,43,521827.1395348838,2921.7153104779727
Larochette,26,*,*
Lenningen,31,838513.9354838709,4129.893775713599
Leudelange,23,*,*
Lintgen,56,738678.5714285715,4521.545207538113
Lorentzweiler,155,822876.9161290321,4510.72378369681
Luxembourg,312,1100464.711538462,6062.102535000463
Mamer,128,1086167.5312500002,5512.97674691056
Manternach,61,725199.8688524589,4299.542707584155
Mersch,196,834210.3724489796,4556.079469601117
Mertert,73,711553.8630136988,4101.678579079746
Mertzig,87,651754.4022988504,3924.639774871242
Mompach,8,*,*
Mondercange,78,936552.935897436,4669.190115154634
Mondorf-les-Bains,77,736052.4415584416,3611.3564398689696
Niederanven,101,1107042.306930693,5336.888107201576
Nommern,29,*,*
Parc Hosingen,120,671611.2166666666,3842.035249795815
Petange,337,539305.4688427295,3387.520117710418
Préizerdaul,22,*,*
Putscheid,14,*,*
Rambrouch,200,655960.5700000004,3357.1071588614077
Reckange-sur-Mess,57,975824.6140350878,3996.0431339885
Redange-sur-Attert,79,682306.8101265822,3714.420505316841
Reisdorf,16,*,*
Remich,67,538665.6716417911,2769.303054299875
Roeser,70,757277.1285714286,4592.393705516255
Rosport,40,636538.1999999997,3278.9541590799913
Rumelange,73,549315.0684931508,3369.7403642498043
Saeul,59,713783.9322033899,3780.0429164367274
Sandweiler,41,1182890.243902439,5319.744192601081
Sanem,323,708961.5944272443,4033.352411967883
Schengen,98,770204.081632653,3689.6809494837084
Schieren,55,688678.181818182,3911.0948052234517
Schifflange,63,598666.6666666667,3648.862353343143
Schuttrange,66,1149616.5606060605,5124.453041391188
Septfontaines,18,*,*
Stadtbredimus,38,681077.1052631579,3823.2281779567097
Steinfort,140,843796.1642857143,4108.134225727847
Steinsel,91,1108414.3296703296,5155.905464719332
Strassen,87,1269644.8275862064,5716.909949067023
Tandel,12,*,*
Troisvierges,51,607210.5490196078,2831.503781636154
Tuntange,191,735344.947643979,4820.115512458825
Useldange,85,636262.7411764705,3451.873423485745
Vallée de l'Ernz,73,659157.6712328765,3492.547362500176
Vianden,51,483623.2156862745,3078.787480934779
Vichten,85,828080.7882352939,4153.5145593380075
Wahl,34,619426.4705882352,3523.023943294661
Waldbillig,38,697840.5263157892,3947.316820071715
Waldbredimus,90,905051.5333333332,5304.813159575296
Walferdange,64,1250378.6406249998,5583.018066326909
Weiler-la-Tour,66,951845.2575757577,5780.511421442117
Weiswampach,41,565706.268292683,3275.1115430363056
Wiltz,160,524776.9125000001,2971.755831567575
Wincrange,111,447453.6126126126,2716.233970465222
Winseler,21,*,*
Wormeldange,42,617189.3095238096,3166.9580063960134
