commune,nombre_d'offres,prix_moyen_annoncé_________en_€_courant,prix_moyen_annoncé_au_m²_en_€_courant
Beaufort,102,1125735.3,6340.854
Bech,30,1143347.7,6832.118
Beckerich,84,1146663.8,6167.267
Berdorf,27,*,*
Bertrange,199,2111878.3,9801.323
Bettembourg,234,1209916.7,6693.156
Bettendorf,60,1013800.2,5289.072
Betzdorf,306,1851645.5,7174.202
Bissen,53,1116283,6479.802
Biwer,18,*,*
Boulaide,33,1023986.9,4701.098
Bourscheid,28,*,*
Bous,11,*,*
Clervaux,147,1017745.8,5083.37
Colmar-Berg,105,1460047.6,6409.434
Consdorf,58,1478782.6,6087.519
Contern,137,1719034.4,7902.926
Dalheim,53,1453949.2,7206.735
Diekirch,37,924216.22,5434.483
Differdange,885,949346.78,5880.311
Dippach,113,1593217.6,7904.809
Dudelange,413,1162575.2,6301.663
Echternach,76,1111486.8,4809.682
Ell,65,1294088.5,5364.994
Erpeldange,36,1410669.1,6628.565
Esch-sur-Alzette,696,906190.72,5643.07
Esch-sur-Sûre,71,893363.93,5358.592
Ettelbruck,165,1147376.6,6109.491
Feulen,59,1219254.2,5761.51
Fischbach,6,*,*
Flaxweiler,99,1219182.9,5421.278
Frisange,377,1562480.2,6985.376
Garnich,69,1524994,7461.168
Goesdorf,20,*,*
Grevenmacher,111,1114733.2,7314.895
Grosbous,16,*,*
Habscht,179,1243207.9,5950.184
Heffingen,7,*,*
Helperknapp,70,1239968,6191.582
Hesperange,244,1878513.3,9269.918
Junglinster,328,1519271.5,7025.832
Kaerjeng,769,1588139.2,7319.629
Kayl,389,1186071.2,6173.211
Kehlen,93,1666000,8036.63
Kiischpelt,29,*,*
Koerich,83,1347012,6018.035
Kopstal,71,1871790.8,9523.738
Lac de la Haute-Sûre,36,915041.67,5586.608
Larochette,48,1106208.3,4390.312
Lenningen,34,1238194.1,6679.595
Leudelange,34,1986328.7,8354.235
Lintgen,32,1513375,7851.876
Lorentzweiler,79,1508035.9,8069.605
Luxembourg,1091,2060022.3,9876.187
Mamer,242,1928693.8,8726.383
Manternach,28,*,*
Mersch,1169,1558351.5,8383.149
Mertert,82,1232970.2,5958.397
Mertzig,80,1215575,5658.01
Mondercange,174,1320680.5,7677.447
Mondorf-les-Bains,129,1409722.4,7072.472
Niederanven,125,2413118.3,8757.353
Nommern,25,*,*
Parc Hosingen,227,1010280.3,5439.583
Petange,757,876113.59,5653.598
Préizerdaul,28,*,*
Putscheid,20,*,*
Rambrouch,109,1027444.9,5060.382
Reckange-sur-Mess,55,2166036.1,6913.617
Redange-sur-Attert,53,1219952.8,5919.424
Reisdorf,34,1046828.6,6269.877
Remich,346,1283268,7810.137
Roeser,150,1769849.4,8420.855
Rosport-Mompach,49,1044857.1,5102.066
Rumelange,186,875886.56,5072.904
Saeul,14,*,*
Sandweiler,88,1807340.9,8593.044
Sanem,376,1186577.6,6135.308
Schengen,149,1167137,6515.219
Schieren,43,1153627.9,5494.609
Schifflange,241,914153.63,6180.44
Schuttrange,71,2180392.5,9093.822
Stadtbredimus,50,1562179.6,7297.962
Steinfort,301,1412390.6,6939.21
Steinsel,375,1530013.8,8523.262
Strassen,94,2463477.8,9502.666
Tandel,0,*,*
Troisvierges,63,732578.06,4035.038
Useldange,20,*,*
Vallée de l'Ernz,332,1467151.2,6438.421
Vianden,22,*,*
Vichten,14,*,*
Wahl,14,*,*
Waldbillig,26,*,*
Waldbredimus,33,1666393.9,6070.431
Walferdange,158,1721538.8,8281.373
Weiler-la-Tour,75,2441099.1,6969.185
Weiswampach,8,*,*
Wiltz,204,867358.36,4640.479
Wincrange,92,817184.92,4331.298
Winseler,27,*,*
Wormeldange,52,1193385.8,6054.084
